,percentage,n_eval,mean_return
0,0.0,0,-1.086149126291275
1,0.0,1,2.199257903478362
2,0.0,2,2.169957232746211
3,0.0,3,-1.086149126291275
4,0.0,4,2.1122319766066293
5,0.1,0,-2.009516730904579
6,0.1,1,-1.086149126291275
7,0.1,2,2.6220092949542133
8,0.1,3,2.420094208283858
9,0.1,4,3.9699294458736074
10,0.2,0,-4.739195545965975
11,0.2,1,2.7834693735296074
12,0.2,2,-21.29526436328888
13,0.2,3,2.7773838205771013
14,0.2,4,-6.067493872209028
15,0.3,0,-5.598882131955841
16,0.3,1,3.439748001369563
17,0.3,2,3.2818329334259033
18,0.3,3,2.611355261369185
19,0.3,4,-14.50836642221971
20,0.4,0,-4.441243957389485
21,0.4,1,1.482042677023194
22,0.4,2,-3.9687395949255335
23,0.4,3,-6.5390447269786485
24,0.4,4,0.7432337674227628
25,0.5,0,-4.270082620057193
26,0.5,1,-0.5742707685990767
27,0.5,2,2.7197079455310647
28,0.5,3,-14.16289266131141
29,0.5,4,-15.507917634465478
30,0.6,0,0.396396203474565
31,0.6,1,-1.9402167742902583
32,0.6,2,-11.704683135856282
33,0.6,3,-2.3308657732876865
34,0.6,4,-0.0805863467129794
35,0.7,0,-0.5230070460926403
36,0.7,1,-9.645938949151473
37,0.7,2,-2.1929318512027915
38,0.7,3,-5.288548972118985
39,0.7,4,-4.678395477208224
40,0.8,0,-1.7573927518996326
41,0.8,1,-6.871699239719998
42,0.8,2,-11.11667057059028
43,0.8,3,-6.815306230024858
44,0.8,4,-5.7357340400869194
45,0.9,0,-2.400436423041604
46,0.9,1,-0.33613914115862414
47,0.9,2,-7.8767756982283155
48,0.9,3,0.2650980732657693
49,0.9,4,-1.0913282957944004
